股票代码,企业名称,数字技术应用,人工智能技术,区块链技术,大数据技术,云计算技术,总词频数,数字化转型指数
831584,上海雷博司电气股份有限公司,0,0,0,0,0,0,-0.220801475
831309,"

湖北雷迪特热系统股份有限公司",0,0,0,0,0,0,-0.220801475
831846,"

苏州飞驰环保科技股份有限公司",0,0,0,0,0,0,1.954585224
833063,"

蚌埠高华电子股份有限公司",3,0,0,0,0,3,-0.183250616
832063,上海鸿辉光通科技股份有限公司,0,0,0,0,0,0,-0.108148898
832234,"

威海鸿通管材股份有限公司",0,0,0,0,0,0,-0.220801475
870583,安徽一天电气技术股份有限公司,0,0,0,0,0,0,-0.220801475
839273,"

湖北一致魔芋生物科技股份有限公司",1,0,0,0,0,1,-0.220801475
870381,北京第七九七音响股份有限公司,0,1,0,0,0,1,-0.220801475
836419,"

西安万德能源化学股份有限公司",0,3,0,0,0,3,-0.16422278
834475,"

三门三友科技股份有限公司",0,0,0,0,0,0,-0.220801475
870952,浙江三辰电器股份有限公司,0,0,0,0,0,0,-0.220801475
839792,"

辽宁东和新材料股份有限公司",0,0,0,0,0,0,8.12143E-20
835370,武汉东江菲特科技股份有限公司,0,0,0,0,0,0,-0.220801475
834469,"

沈阳东管电力科技集团股份有限公司",0,0,0,0,0,0,-0.20194191
836797,"

西安东风机电股份有限公司",0,0,0,0,0,0,-0.183250616
835911,"

中农华威制药股份有限公司",0,0,0,0,0,0,-0.108148898
839163,"

中安华邦（北京）安全生产技术研究院股份有限公司",0,4,0,4,0,8,-0.220801475
836260,"

成都中寰流体控制设备股份有限公司",0,0,0,0,0,0,-0.220801475
837555,"

中电科微波通信（上海）股份有限公司",1,0,0,0,0,1,-0.220801475
835892,"

中科美菱低温科技股份有限公司",0,2,0,0,0,2,-0.220801475
836913,"

北京中鼎恒业科技股份有限公司",0,0,0,0,0,0,-0.220801475
835305,"

南京云创大数据科技 股份有限公司",0,74,0,0,0,74,-0.220801475
835174,"

湖南五新隧道智能装备股份有限公司",0,1,0,0,0,1,-0.220801475
870781,"

宁波亿林节水科技股份有限公司",4,0,0,0,0,4,0.594728386
839073,"

广东亿鑫丰智能装备股份有限公司",0,1,0,0,0,1,-0.220801475
870154,"

江西伊发电力科技股份有限公司",0,0,0,0,0,0,-0.20194191
838082,"

江西众加利高科技股份有限公司",0,1,0,0,0,1,-0.145699757
835207,"

河南众诚信息科技股份有限公司",0,20,0,9,0,29,-0.220801475
870548,"

安徽凯奥新能源股份有限公司",0,0,0,0,0,0,2.557962092
838388,"

青岛凯能环保科技股份有限公司",0,0,0,0,0,0,-0.183250616
836703,"

湖南创一工业新材料股份有限公司",0,0,0,0,0,0,-0.145363215
839291,"

厦门利德宝电子科技股份有限公司",0,0,0,0,0,0,-0.183250616
839732,"

江苏力博医药生物技术股份有限公司",0,0,0,0,0,0,-0.220801475
835692,"

广东力王高新科技股份有限公司",1,1,0,0,0,2,-0.183250616
839148,"

四川升拓检测技术股份有限公司",0,1,0,0,0,1,2.027200162
870774,安徽华信电动科技股份有限公司,0,1,0,0,0,1,-0.220801475
838837,"

广西华原过滤系统股份有限公司",1,0,0,0,0,1,-0.220801475
833960,"

河北华发教育科技股份有限公司",0,9,0,1,0,10,-0.220801475
836247,"

河北华密新材科技股份有限公司",0,1,0,0,0,1,-0.220801475
837819,"

河南华泰粮油机械股份有限公司",0,0,0,0,0,0,-0.220801475
839946,"

湖北华阳汽车变速系统股份有限公司",0,0,0,0,0,0,-0.164391051
838632,河北协同环保科技股份有限公司,0,0,0,0,0,0,-0.183250616
833711,"

上海卓易科技股份有限公司",0,2,0,0,0,2,-0.183250616
833678,"

株洲南方阀门股份有限公司",0,1,0,0,0,1,-0.20194191
836552,西安博深安全科技股份有限公司,0,6,0,2,0,8,0.283487863
688592,上海司南导航技术股份有限公司,0,3,0,0,0,3,-0.183250616
834065,"

安徽合凯电气科技股份有限公司",0,0,0,0,0,0,-0.220801475
871229,"

山西合力创新科技股份有限公司",0,8,0,0,0,8,-0.220801475
835595,湖北固润科技股份有限公司,0,3,0,0,0,3,-0.220801475
870802,"

多立恒（北京）能源技术股份公司",0,0,0,0,0,0,-0.145699757
838593,"

陕西大唐燃气安全科技股份有限公司",0,1,0,0,0,1,-0.183250616
871037,"

唐山天和环保科技股份有限公司",0,0,0,0,0,0,0.337166892
838451,"

蚌埠天成包装科技股份有限公司",0,0,0,0,0,0,-0.108148898
837601,湖北天瑞电子股份有限公司,0,0,0,0,0,0,-0.220801475
839507,"

天筑科技股份有限公司",0,0,0,0,0,0,0.079605397
838971,"

河南天马新材料股份有限公司",0,2,0,0,0,2,-0.108148898
839161,"

常德天马电器股份有限公司",0,0,0,0,0,0,-0.220801475
870264,"

奥瑞拓能源科技股份有限公司",0,0,0,0,0,0,-0.183250616
839719,"

江西宁新新材料股份有限公司",0,0,0,0,0,0,-0.220801475
870170,"

大同宇林德石墨新材料股份有限公司",0,0,0,0,0,0,-0.220801475
835640,"富士达

中航富士达科技股份有限公司",2,9,0,1,0,12,-0.220801475
833887,"

江西庞泰环保股份有限公司",0,0,0,0,0,0,-0.220801475
833804,"

康威通信技术股份有限公司",0,2,0,0,0,2,-0.145699757
839939,"

德中（天津）技术发展股份有限公司",0,0,0,0,0,0,-0.220801475
837044,"

德蓝水技术股份有限公司",0,0,0,0,0,0,-0.220801475
835532,"

厦门航天思尔特机器人系统股份公司",0,0,0,0,0,0,-0.220801475
838804,惠州市恒泰科技股份有限公司,7,4,0,3,0,14,-0.220801475
838949,"

牡丹江恒远药业股份有限公司",0,0,0,0,0,0,0.321206993
833751,湖南惠同新材料股份有限公司,0,0,0,0,0,0,-0.145699757
835438,"

湖北戈碧迦光电科技股份有限公司",0,2,0,0,0,2,-0.220801475
834404,"

扬戈科技股份 有限公司",0,0,0,0,0,0,-0.220801475
837654,湖南文昌新材科技股份有限公司,0,0,0,0,0,0,-0.220801475
838624,山西文龙中美环能科技股份有限公司,0,2,0,0,0,2,-0.220801475
834217,"

徐州斯尔克纤维科技股份有限公司",0,0,0,0,0,0,0.560413735
834552,"

天津斯巴克瑞汽车电子股份有限公司",1,0,0,0,0,1,-0.220801475
870426,"

上海普英特高层设备股份有限公司",0,0,0,0,0,0,-0.183250616
834534,"

上海曼恒数字技术股份有限公司",4,4,0,53,0,61,-0.220801475
835579,"

机科发展科技股份有限公司",0,2,0,0,0,2,-0.145699757
834166,"

合肥杰事杰新材料股份有限公司",0,0,0,0,0,0,-0.220801475
870757,天津森罗科技股份有限公司,0,0,0,0,0,0,-0.220801475
834042,"

福建欣宇卫浴科技股份有限公司",0,0,0,0,0,0,-0.145699757
836414,"

上海欧普泰科技创业 股份有限公司",0,22,0,3,0,25,-0.220801475
836903,"

河北汇东管道股份有限公司",0,0,0,0,0,0,-0.20194191
838460,"

河南汇博医疗股份有限公司",0,2,0,0,0,2,-0.220801475
836957,"

东莞市汉维科技股份有限公司",0,0,0,0,0,0,8.820415351
837363,沃达农业科技股份有限公司,0,0,0,0,0,0,-0.145699757
870204,"

南京沪江复合材料股份有限公司",0,0,0,0,0,0,-0.220801475
838587,"

上海泽鑫电力科技股份有限公司",0,0,0,0,0,0,-0.220801475
